t,stock,v
1539,441,0.17
1540,441,0.17
1541,439,0.15
1542,438,0.15
1543,437,0.15
1544,439,0.15
1545,440,0.16
1546,440,0.16
1547,442,0.18
1548,442,0.18
1549,441,0.16
1550,440,0.16
1551,442,0.16
1552,442,0.16
1553,442,0.16
1554,446,0.16
1555,447,0.18
1556,448,0.18
1557,448,0.17
1558,448,0.17
1559,449,0.18
1560,451,0.18
1561,451,0.18
1562,453,0.18
1563,453,0.18
1564,453,0.18
1565,456,0.18
1566,456,0.18
1567,459,0.19
1568,462,0.19
1569,463,0.18
1570,464,0.18
1571,465,0.17
1572,465,0.17
1573,465,0.17
1574,467,0.17
1575,470,0.17
1576,470,0.17
1577,470,0.16
1578,470,0.16
1579,468,0.16
1580,467,0.16
1581,467,0.15
1582,467,0.15
1583,469,0.15
1584,471,0.15
1585,474,0.17
1586,475,0.17
1587,474,0.17
1588,474,0.17
1589,473,0.15
1590,475,0.15
1591,475,0.15
1592,479,0.15
1593,480,0.17
1594,480,0.17
1595,479,0.16
1596,479,0.16
1597,478,0.16
1598,478,0.16
1599,478,0.15
1600,478,0.15
1601,481,0.15
1602,481,0.15
1603,480,0.14
1604,479,0.14
1605,479,0.14
1606,479,0.14
1607,478,0.14
1608,478,0.14
1609,478,0.14
1610,478,0.14
1611,478,0.14
1612,478,0.14
1613,478,0.14
1614,479,0.14
1615,481,0.15
1616,483,0.15
1617,483,0.16
1618,483,0.16
1619,482,0.15
1620,481,0.15
1621,480,0.15
1622,479,0.15
1623,479,0.14
1624,479,0.14
1625,478,0.14
1626,479,0.14
1627,480,0.16
1628,482,0.16
1629,481,0.15
1630,481,0.15
1631,480,0.15
1632,482,0.15
1633,482,0.14
1634,482,0.14
1635,481,0.15
1636,481,0.15
1637,487,0.16
1638,491,0.16
1639,491,0.15
1640,490,0.15
1641,492,0.15
1642,492,0.15
1643,492,0.15
1644,490,0.15
1645,489,0.15
1646,489,0.15
1647,489,0.14
1648,491,0.14
1649,492,0.15
1650,491,0.15
1651,490,0.14
1652,490,0.14
1653,490,0.14
1654,490,0.14
1655,492,0.14
1656,492,0.14
1657,492,0.14
1658,491,0.14
1659,490,0.14
1660,490,0.14
1661,491,0.14
1662,492,0.14
